tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,33858,7023,9268927,146816,2017-08-01 16:23:56+00:00
892177421306343426,29346,5304,9269410,146826,2017-08-01 00:17:27+00:00
891815181378084864,22081,3487,9268927,146816,2017-07-31 00:18:03+00:00
891689557279858688,36981,7236,9268927,146816,2017-07-30 15:58:51+00:00
891327558926688256,35355,7773,9268927,146816,2017-07-29 16:00:24+00:00
891087950875897856,17832,2603,9268927,146816,2017-07-29 00:08:17+00:00
890971913173991426,10382,1671,9268927,146816,2017-07-28 16:27:12+00:00
890729181411237888,56907,15780,9268927,146816,2017-07-28 00:22:40+00:00
890609185150312448,24555,3628,9268927,146816,2017-07-27 16:25:51+00:00
890240255349198849,27989,6108,9268927,146816,2017-07-26 15:59:51+00:00
890006608113172480,27070,6157,9268927,146816,2017-07-26 00:31:25+00:00
889880896479866881,24600,4174,9268927,146816,2017-07-25 16:11:53+00:00
889665388333682689,42096,8359,9268927,146816,2017-07-25 01:55:32+00:00
889638837579907072,23710,3720,9268927,146816,2017-07-25 00:10:02+00:00
889531135344209921,13360,1885,9268927,146816,2017-07-24 17:02:04+00:00
889278841981685760,22150,4449,9268927,146816,2017-07-24 00:19:32+00:00
888917238123831296,25666,3769,9268927,146816,2017-07-23 00:22:39+00:00
888804989199671297,22494,3544,9268927,146816,2017-07-22 16:56:37+00:00
888554962724278272,17342,2882,9268927,146816,2017-07-22 00:23:06+00:00
888078434458587136,19169,2901,9268928,146816,2017-07-20 16:49:33+00:00
887705289381826560,26658,4542,9268928,146816,2017-07-19 16:06:48+00:00
887517139158093824,40777,9864,9268928,146816,2017-07-19 03:39:09+00:00
887473957103951883,60247,15052,9268928,146816,2017-07-19 00:47:34+00:00
887343217045368832,29616,8821,9268928,146816,2017-07-18 16:08:03+00:00
887101392804085760,27011,4998,9268928,146816,2017-07-18 00:07:08+00:00
886983233522544640,30425,6327,9268928,146816,2017-07-17 16:17:36+00:00
886736880519319552,10508,2635,9268928,146816,2017-07-16 23:58:41+00:00
886680336477933568,19764,3745,9268928,146816,2017-07-16 20:14:00+00:00
886366144734445568,18566,2634,9268928,146816,2017-07-15 23:25:31+00:00
886267009285017600,105,4,9268928,146816,2017-07-15 16:51:35+00:00
886258384151887873,24554,5298,9268928,146816,2017-07-15 16:17:19+00:00
886054160059072513,0,93,9269411,146826,2017-07-15 02:45:48+00:00
885984800019947520,28638,5622,9268928,146816,2017-07-14 22:10:11+00:00
885528943205470208,31627,5337,9268928,146816,2017-07-13 15:58:47+00:00
885518971528720385,18030,3113,9268928,146816,2017-07-13 15:19:09+00:00
885311592912609280,0,15458,9268928,146816,2017-07-13 01:35:06+00:00
885167619883638784,19278,3673,9268928,146816,2017-07-12 16:03:00+00:00
884925521741709313,67380,15048,9268928,146816,2017-07-12 00:01:00+00:00
884876753390489601,24419,4678,9268928,146816,2017-07-11 20:47:12+00:00
884562892145688576,21347,3918,9268928,146816,2017-07-11 00:00:02+00:00
884441805382717440,23888,4798,9268928,146816,2017-07-10 15:58:53+00:00
